,Date,URL,Review_Title,Author,Rating,Review_text,Review_helpful
10,am 5. Juli 2016,http://www.amazon.de/Philips-Luftreiniger-AC4012-10-insbesondere/product-reviews/B00JDFNUR8/ref=cm_cr_pr_btm_link_1?ie=UTF8&sortBy=recent&pageNumber=2,Deutlicher Gestank,Apfelbaum,"2,0 von 5 Sternen","Leider riecht das Gerät im Betrieb sehr stark.Kleine Räume sind dann kaum noch nutzbar.Ich schalte es nur noch ein, wenn die Luft im Raum noch schlechter ist als die stinkende, die das Gerät selbst produziert, sprich wenn aggressiver Zigarettenqualm vorhanden ist,  oder ähnliches. Dagegen wirkt es schnell und gut.Aber der vom Gerät selbst produzierte Gestank ist mit Sicherheit nicht gesund.Vielleicht kann mir jemand sagen, ob der nach sehr häufiger Verwendung aufhört? Für diese Information wäre ich sehr dankbar.Ob das Gerät Allergikern hilft, wage ich aufgrund der Produktion von stinkender Luft zu bezweifeln. Ob die Luft von  Pollen und anderen Dingen gereinigt wird, ist für mich  nicht feststellbar. Und es wird von Hersteller auch keinerlei Beleg dafür gegeben.Auch ich kann nur feststellen, dass das Lichtsystem sehr unglaubwürdig erscheint.Dies erklären ja bereits viele Vorredner.","Eine Person fand diese Informationen hilfreich.
        
      War diese Rezension für Sie hilfreich?JaNein"
11,am 11. Mai 2016,http://www.amazon.de/Philips-Luftreiniger-AC4012-10-insbesondere/product-reviews/B00JDFNUR8/ref=cm_cr_pr_btm_link_1?ie=UTF8&sortBy=recent&pageNumber=2,Hat mich nicht enntäuscht,Berli,"4,0 von 5 Sternen","Finde ich gut...bestens für Allergikerr geeignet.Ist nicht sehr laut und verbessert die Atemluft..Erspart aber nicht das Lüften! Man muss genauso lüften nur es ist ein besseres Durchatmen möglich wenn man Staub, Pollen oder Milbenallergie hat.",War diese Rezension für Sie hilfreich?JaNein
12,am 21. April 2016,http://www.amazon.de/Philips-Luftreiniger-AC4012-10-insbesondere/product-reviews/B00JDFNUR8/ref=cm_cr_pr_btm_link_1?ie=UTF8&sortBy=recent&pageNumber=2,kaufen!,Astrid Und Oliver Hertel,"5,0 von 5 Sternen","Habe lange überlegt........dann doch gekauft und was sag ich: toll!!!Eindeutig, Technik schlägt Chemie wie ein Vorredner schon gepostet hat","Eine Person fand diese Informationen hilfreich.
        
      War diese Rezension für Sie hilfreich?JaNein"
13,am 15. April 2016,http://www.amazon.de/Philips-Luftreiniger-AC4012-10-insbesondere/product-reviews/B00JDFNUR8/ref=cm_cr_pr_btm_link_1?ie=UTF8&sortBy=recent&pageNumber=2,Super Luftreiniger !!!,lindas,"5,0 von 5 Sternen","Da ich spontan hoch allergisch geworden bin , ist dieser Luftreiniger meine absolute Rettung! Da wir ein Haus haben habe ich noch den Bruder mit Luftfeuchtigkeitsregelung bestellt aber den mag ich nicht so. Dieser hier ist top und läuft bei mir Tag und Nacht . Nachts dann leise im Nachtmodus.",War diese Rezension für Sie hilfreich?JaNein
14,am 7. April 2016,http://www.amazon.de/Philips-Luftreiniger-AC4012-10-insbesondere/product-reviews/B00JDFNUR8/ref=cm_cr_pr_btm_link_1?ie=UTF8&sortBy=recent&pageNumber=2,Schlafmode leider mit störenden Nebengeräuschen,winegum,"3,0 von 5 Sternen","Nicht billig für ein bisschen Filter und Ventilator.Ausschlaggebend war für mich der Nachtmodus, da ich den Luftfilter im Schlafzimmer betreiben wollte.An sich war der Lärmpegel niedrig genug. Leider gab es alle paar minute störende Nebengeräusche vom Motor (klingt wie früher bei den Analogen Telefonen das Läuten an der Gegenstelle). Das Nebengeräusch war zwar nicht sehr laut, aber störend genug um mich jedes Mal aus dem Schlaf zu reissen.Jetzt läuft er nur noch am Tag. Da stört es sehr, dass das Gerät über keine Zeitschaltung verfügt. Man muss immer manuell ein und ausschalten.","2 Personen fanden diese Informationen hilfreich.
        
      War diese Rezension für Sie hilfreich?JaNein"
15,am 7. Februar 2016,http://www.amazon.de/Philips-Luftreiniger-AC4012-10-insbesondere/product-reviews/B00JDFNUR8/ref=cm_cr_pr_btm_link_1?ie=UTF8&sortBy=recent&pageNumber=2,gemischte Gefühle,Anonym,"3,0 von 5 Sternen","im nachtmodus gibt es seit neuesten ein wahrnehmbares wurden in regelmäßigen Abständen... Betrieb im Schlafzimmer ist nicht mehr möglich da ich wegen dem Geräusch aufwache, ist das ein Seitenfehler weil es andere auch beobachten konnten? Der Lüfter selber ist im Nachtmodus nicht störend... Schade das es keinen Automatikmodus gibt und das Ding immer an ist.Luftreinigung subjektiv sehr gutOptik wertig, kompakt und unauffällig",War diese Rezension für Sie hilfreich?JaNein
16,am 2. Februar 2016,http://www.amazon.de/Philips-Luftreiniger-AC4012-10-insbesondere/product-reviews/B00JDFNUR8/ref=cm_cr_pr_btm_link_1?ie=UTF8&sortBy=recent&pageNumber=2,Sehr gut im Kinderzimmer bei Allergie,Xnedra,"5,0 von 5 Sternen","Wir benutzen den Luftfilter im Kinderzimmer unseres Sohnes (8 Jahre), der eine Hausstaubmilbenallergie hat. Morgens schalten wir das Gerät 1 Stunde lang an und nachmittags ab circa 3 Uhr bis nachts um etwa 10 Uhr. Tatsächlich sind seine Symptome (trotz Winter) seitdem sehr viel besser geworden! Er schnarcht nicht mehr beim schlafen, seine Nase ist nicht permanent zu... Man merkt den Effekt auch daran, dass es in seinem Zimmer nachdem gekocht wurde auch bei geschlossenem Fenster nie nach Essen riecht. Zum Glück können wir jetzt auf eine (aluminiumhaltige) Hyposensibilisierung verzichten. Den Filter müssen wir jetzt nach Ca 3 Monaten zum ersten mal austauschen.","Eine Person fand diese Informationen hilfreich.
        
      War diese Rezension für Sie hilfreich?JaNein"
17,am 27. Januar 2016,http://www.amazon.de/Philips-Luftreiniger-AC4012-10-insbesondere/product-reviews/B00JDFNUR8/ref=cm_cr_pr_btm_link_1?ie=UTF8&sortBy=recent&pageNumber=2,Philips Luftreiniger AC4012/10,Cromartie,"5,0 von 5 Sternen","Ich nutze dieses Gerät seit November täglich und ich hatte immer Probleme mit verstopfter Nase, das hat sich komplett aufgelöst, ich atme beim Schlafen frei durch.Würde ich immer wider kaufen so ein Gerät , aber nur ohne OZON! Deshalb dieses oder ein anderes von Philipps.","3 Personen fanden diese Informationen hilfreich.
        
      War diese Rezension für Sie hilfreich?JaNein"
18,am 9. Januar 2016,http://www.amazon.de/Philips-Luftreiniger-AC4012-10-insbesondere/product-reviews/B00JDFNUR8/ref=cm_cr_pr_btm_link_1?ie=UTF8&sortBy=recent&pageNumber=2,Super für Allergiker,thehintsch,"5,0 von 5 Sternen","Leider leide ich Hausstauballergie und seitdem ich in diese Souterrain Wohnung gezogen bin, sammelt sich unglaublich schnell und unglaublich viel Staub an. Entsprechend hatte ich oft eine verstopfte Nase oder gerötete Augen nach dem Aufstehen. Schnelle Besserung brachte meist nur eine Dusche und/oder eine Nasenspülung. Wenn ich mich am Wochenende auch länger tagsüber in der Wohnung aufhalte, hatte ich die Probleme dann auch gerne mal ganztags bzw. mit ansteigender Intensität.Seitdem ich den Luftreiniger verwende hat sich dies drastisch gebessert! Ich mochte es anhand der anderen Rezensionen kaum glauben. Ich fühle mich wesentlich besser beim Aufstehen, regelmäßige Nasenspülungen sind passé. Und auch wenn ich mich länger in der Wohnung aufhalte gibt es keine Probleme mehr.Positive Nebeneffekte des Luftreinigers:- Auf dem Boden liegt spürbar weniger Staub herum.- Wenn man kocht und lässt den Reiniger laufen, verschwinden die unangenehmen Fett- und Fischgerüche usw. viel schneller.- Ich muss in der Souterrain Wohnung immer auf gute Lüftung achten. Wenn ich das Gerät laufen lasse während ich die Fenster offen habe, hat man das Gefühl die Luft wird viel besser ausgetauscht, da sie etwas durch den Raum zirkuliert und nicht still steht.Soweit zur Wirkung des Geräts, nun zum Gerät selbst:Die Lautstärke auf der normalen Stufe ist sehr angenehm. Es stört nicht wenn man am PC sitzt, Musik hört oder einen Film schaut. Auf der hohen Stufe kann es schon etwas stören.Einige Leute berichten, dass es im Nachtmodus ein ""Heulen"" geben kann und haben ihn daraufhin zurück geschickt. Anscheinend ist das nicht bei allen Geräten so. Bei meinem tritt das jedoch auch auf. Da ich es als Warehouse Deal gekauft habe, nehme ich an, habe ich natürlich ein solches zurückgeschicktes, aber ansonsten einwandfreies Gerät bekommen. Schade! Denn der Lüfter ist im Nachtmodus wirklich unhörbar, das Heulen nervt aber etwas. Da ist mir die normale Lüfterstufe lieber, da man eigentlich nur das ""Säuseln des Windes"" wahrnimmt. Nach anfänglichen Tests verwende ich das Gerät jedoch Nachts nie. Für mich genüg es, wenn ich es Abends eine Weile laufen lasse.Der Sensor ist akkurat. Viele schreiben, dass er immer auf ""rot"" (schlechte Luft) beginnt beim Einschalten und dann schnell über lila zu blau (gute Luft) über geht. Das stimmt zwar, muss aber eine echte, korrekte Anzeige sein. Denn, sobald ich etwas aufschüttele, oder mal Chemikalien (Reinigungsmittel) versprühe, bekommt das der Sensor innerhalb von Sekunden mit und schaltet um.tl;dr:Absolute Empfehlung! Der Anschaffungspreis ist zwar eine Hemmschwelle, wenn man sich nicht sicher ist ob es was bringt. Aber die Wirkung überzeugt! Alergiebeschwerden nehmen deutlich ab, üble Gerüche werden zügig beseitigt.","3 Personen fanden diese Informationen hilfreich.
        
      War diese Rezension für Sie hilfreich?JaNein"
19,am 8. Januar 2016,http://www.amazon.de/Philips-Luftreiniger-AC4012-10-insbesondere/product-reviews/B00JDFNUR8/ref=cm_cr_pr_btm_link_1?ie=UTF8&sortBy=recent&pageNumber=2,Mehr Schein als Sein,Martin Von Marees,"2,0 von 5 Sternen",Ich habe das Gerät in jedem Zimmer 24 Stunden laufen lassen.Definitiv kann ich sagen dass sich die Luft verändert hat.Allerdings habe ich Kopfschmerzen bekommen und mein Schlaf war definitiv nicht so gut wie vorher.Es ist natürlich kein Indiz dafür dass es an dem Gerät lag.Letzten Endes war die Qualität der Luft schlechter als vorher und ich habe mich unwohl gefühlt.Ich muss das Gerät zurück schicken. Vielleicht war es defekt oder die Filter nicht mehr sauber oder was auch immer ein Grund sein möge.Lautstärke und Größe waren absolut in Ordnung und man konnte auch dabei schlafen.,"2 Personen fanden diese Informationen hilfreich.
        
      War diese Rezension für Sie hilfreich?JaNein"
20,am 17. Dezember 2015,http://www.amazon.de/Philips-Luftreiniger-AC4012-10-insbesondere/product-reviews/B00JDFNUR8/ref=cm_cr_pr_btm_link_1?ie=UTF8&sortBy=recent&pageNumber=3,Sehr gut!,LocutusH,"5,0 von 5 Sternen","Bringt einfach was ich erwartet habe.- Sehr gute Philips Qualität- Sieht auch gut aus- kann leise sein, kann aber auch riesen menge an luft bewegen- aktiv kohlen filter, hepa filter, vorfilter... filtert wirklich alles aus- bedienung auch kinderleichtKlare kaufempfehlung!","Eine Person fand diese Informationen hilfreich.
        
      War diese Rezension für Sie hilfreich?JaNein"
21,am 9. Dezember 2015,http://www.amazon.de/Philips-Luftreiniger-AC4012-10-insbesondere/product-reviews/B00JDFNUR8/ref=cm_cr_pr_btm_link_1?ie=UTF8&sortBy=recent&pageNumber=3,Nur teures Luftgebläse. Finger weg!!,Ahmet Güngör,"1,0 von 5 Sternen","Ich bin Jahrelanger Amazon Kunde. Habe bei Amazon in den letzten Jahren für die unterschiedlichsten Dinge bestimmt schon Geld in 5 stelliger Höhe ausgegeben. Jedoch bin ich eigentlich nicht der eifrige Bewertungs- Schreiber geschweige denn ein sensibler Kritiker......aaaaber, bei diesem ""Luftreiniger"" kann ich einfach nicht anders. Mein Sohn ist Allergiker und hat nachts Probleme mit dem durchschlafen. Das Gerät lief 2 Tage bei ihm im Zimmer fast den ganzen Tag. Im Zimmer wird gründlich Staubgesaugt, Staub gewischt, am Tag mind.2-3 mal ordentlich gelüftet.....Tagsüber lief es mehrere Stunden auf Stufe 1, einige Stunden vor dem Zubettgehen auf Stufe 2 und Nachts im Nachtmodus. Ich erwarte natürlich keine Wunder aber diese Schrottkiste ist nur ein Luftgebläse. Die Luft die da Austritt ist auch wirklich seeehr kalt. Im Sommer wäre das vielleicht ein angenehmer Nebeneffekt aber im Winter ist es nicht angenehm. Das nächste ist,dass das Gerät egal im welchen Raum bei Einschaltung Rot ( schlechte Luftqualität) leuchtet und Sekunden später schon Blau ( sehr gute Luftqualität ) anzeigt. Die Luft riecht nicht besser als vorher, mein Sohn hat trotzdem Probleme mit seiner Nächtlichen Allergie. Ich würde sagen: Finger weg!!! Retoure ist schon ausgedruckt.","5 Personen fanden diese Informationen hilfreich.
        
      War diese Rezension für Sie hilfreich?JaNein"
22,am 28. September 2015,http://www.amazon.de/Philips-Luftreiniger-AC4012-10-insbesondere/product-reviews/B00JDFNUR8/ref=cm_cr_pr_btm_link_1?ie=UTF8&sortBy=recent&pageNumber=3,Läuft ruhig und man merkt den Unterschied,Hans,"4,0 von 5 Sternen","Uns ist der Vergleich zwischen den verschiedenen Luftreinigern sehr schwer gefallen. Objektive Tests sind Mangelware, die Angaben sehr unterschiedlich und manchmal kaum vergleichbar.Wir haben uns letztendlich einen Honeywell HA170E und diesen Philips Luftreiniger gekauft, um vergleichen zu können. Jeder der beiden hat seine Stärken:Den Honeywell würde ist kurzgesagt als starkes Arbeitstier bezeichnen. Er hat eine sehr hohe Leistung (große Räume) und einen sehr feinen HEPA-Filter (Klasse H13). Der Philips ist dagegen der elegantere, nicht nur im Design, sondern auch in der Lautstärke. Er vollzieht seine Tätigkeit ohne viel Lärm, eher ""Understatement"". Leider kann man nirgendwo eine Information finden, welche Filterklasse der HEPA-Filter von Philips hat. Vermutlich ist er nicht ganz so leistungsfähig wie der von Honeywell. Dafür gibt es für den Philips einen Punkt Abzug.Wir haben uns letztendlich allerdings für den eleganteren, ruhigeren Philips entschieden und sind unserer Nase gefolgt. Auch er filtert eine ganze Menge weg und die Luft wird merklich besser. Den Honeywell haben wir zurückgeschickt und noch mal einen Philips bestellt.",War diese Rezension für Sie hilfreich?JaNein
23,am 15. Juli 2015,http://www.amazon.de/Philips-Luftreiniger-AC4012-10-insbesondere/product-reviews/B00JDFNUR8/ref=cm_cr_pr_btm_link_1?ie=UTF8&sortBy=recent&pageNumber=3,Reinigt wohl Luft,Y,"3,0 von 5 Sternen","Ein wenig merkwürdig ist's tatsächlich, dass anfangs die Luft immer als schlecht angezeigt wird. Ist mir ein wenig zu laut. Das Gerät, das ich hatte, hatte auch ein leises Tüüüüt Geräusch beim Betrieb und daher dann mit dem teureren AC4072 ersetzt. Echt ziemlich teuer, aber dafür leise und wirklich tolle Technologie.","2 Personen fanden diese Informationen hilfreich.
        
      War diese Rezension für Sie hilfreich?JaNein"
24,am 29. Juni 2015,http://www.amazon.de/Philips-Luftreiniger-AC4012-10-insbesondere/product-reviews/B00JDFNUR8/ref=cm_cr_pr_btm_link_1?ie=UTF8&sortBy=recent&pageNumber=3,Reinigt die Luft zuverlässig,Micha,"5,0 von 5 Sternen","Wir haben einen 5-jährigen Sohn, der allergisch ist. Jetzt nach 3 Monaten Einsatz kann ich bestätigen, dass der Luftreiniger eine Wirkung zeigt. Man sieht es auch am Staubfilter, welcher innerhalb 2 Wochen bei uns bereits gereinigt werden musste. Wir sind zufrieden, der Kleine schläft definitiv besser. Die Lautstärke ist allerdings nachts schon deutlich im Nachtmodus wahrzunehmen. Kinder schlafen für gewöhnlich bei jeder Geräuschkulisse (zum Glück) aber Erwachsene könnte das schon beim Einschlafen stören. Für uns erfüllt das Gerät jedoch zu 100% die Anforderungen, deshalb Kaufempfehlung.","Eine Person fand diese Informationen hilfreich.
        
      War diese Rezension für Sie hilfreich?JaNein"
25,am 23. Mai 2015,http://www.amazon.de/Philips-Luftreiniger-AC4012-10-insbesondere/product-reviews/B00JDFNUR8/ref=cm_cr_pr_btm_link_1?ie=UTF8&sortBy=recent&pageNumber=3,Ideal bei Pollenallergie,EdBay,"5,0 von 5 Sternen","Seit ein paar tagen läuft der Luftreiniger praktisch Tag und Nacht (mit ein paar Stunden Pause tagsüber). Mein Sohn kann wieder schlafen, ohne sich Papiertaschentücher in die Nase stopfen zu müssen. Auch das hier öfter als störend beschriebene Geräusch beim Nachtmodus stört ihn überhaupt nicht. Da muss man schon einen sehr leichten Schlaf haben, um es überhaupt zu hören.Wir lüften morgens und abends kräftig und schalten anschließend das Gerät auf Stufe zwei. Nach etwas 15 Minuten ist die Wirkung schon gut zu spüren, mein Sohn muss nicht mehr reisen und die Nase läuft nur noch sehr wenig.Allerdings wird es durch das Schlafen bei geschlossenem Fenster über Nacht recht warm im Zimmer, denn es ist ja keine Klimaanlage mit dem Luftreiniger verbunden. Mal sehen, wie es im Hochsommer bei hohen Außentemperaturen wird.Bis jetzt unbedingt empfehlenswert - eine lohnende Anschaffung bei starker Pollenallergie!","Eine Person fand diese Informationen hilfreich.
        
      War diese Rezension für Sie hilfreich?JaNein"
